,theorem_id,throrem_titles,theorem_contents,theorem_refs,ref_ids,retrieved_3,retrieved_5,retrieved_10,retrieved_50,P@3,P@5,P@10,P@50,R@3,R@5,R@10,R@50,RR,self_retrieve
10980,15893,Summation over k to n of Natural Logarithm of k,:$\ds \sum_{k \mathop = 1}^n \ln k = \map \ln {n!}$where $n!$ denotes the $n$th [[Definition:Factorial|factorial]].,['Definition:Factorial'],[20058],"[15894, 15888, 19619]","[15894, 15888, 19619, 15933, 15903]","[15894, 15888, 19619, 15933, 15903, 10055, 17852, 15895, 16067, 9886]","[15894, 15888, 19619, 15933, 15903, 10055, 17852, 15895, 16067, 9886, 9182, 9876, 15977, 12765, 12644, 16064, 15701, 1328, 9887, 12766, 15700, 15978, 15904, 10056, 9121, 15887, 15596, 16043, 1857, 3986, 16129, 15940, 10053, 15941, 14001, 15781, 12787, 6753, 1516, 9219, 965, 9641, 18781, 9183, 9167, 13595, 12640, 14051, 14098, 9369]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10981,15894,Difference between Summation of Natural Logarithms and Summation of Harmonic Numbers,:$\displaystyle \sum_{k \mathop = 1}^n H_k - \sum_{k \mathop = 1}^n \map \ln {n!} \approx \gamma n + \dfrac {\ln n} 2 + 0 \cdotp 158$where::$H_k$ denotes the $k$th [[Definition:Harmonic Number|harmonic number]]:$n!$ denotes the $n$th [[Definition:Factorial|factorial]]:$\gamma$ denotes the [[Definition:Euler-Mascheroni Constant|Euler-Mascheroni constant]].,"['Definition:Harmonic Numbers', 'Definition:Factorial', 'Definition:Euler-Mascheroni Constant']","[21005, 20058, 20320]","[19619, 15699, 15696]","[19619, 15699, 15696, 15888, 15887]","[19619, 15699, 15696, 15888, 15887, 15941, 15932, 15940, 15933, 15700]","[19619, 15699, 15696, 15888, 15887, 15941, 15932, 15940, 15933, 15700, 15904, 15903, 15895, 15899, 15596, 15701, 15893, 17529, 18254, 15939, 18233, 9527, 18258, 18257, 15942, 13045, 1328, 15977, 19122, 15889, 16043, 9121, 15594, 9886, 16987, 13605, 16040, 15609, 15978, 9887, 15611, 17, 13599, 14565, 15995, 12089, 10056, 12436, 15951, 12787]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10982,15895,Sum over k of n Choose k by x to the k by kth Harmonic Number/x = -1,While for $x \in \R_{> 0}$ be a [[Definition:Real Number|real number]]::$\displaystyle \sum_{k \mathop \in \Z} \binom n k x^k H_k = \left({x + 1}\right)^n \left({H_n - \ln \left({1 + \frac 1 x}\right)}\right) + \epsilon$when $x = -1$ we have::$\displaystyle \sum_{k \mathop \in \Z} \binom n k x^k H_k = \dfrac {-1} n$where:: $\dbinom n k$ denotes a [[Definition:Binomial Coefficient|binomial coefficient]]: $H_k$ denotes the $k$th [[Definition:Harmonic Number|harmonic number]].,"['Definition:Real Number', 'Definition:Binomial Coefficient', 'Definition:Harmonic Numbers']","[20077, 20059, 21005]","[15701, 15700, 15977]","[15701, 15700, 15977, 15888, 15941]","[15701, 15700, 15977, 15888, 15941, 15699, 15940, 15978, 15894, 12711]","[15701, 15700, 15977, 15888, 15941, 15699, 15940, 15978, 15894, 12711, 16041, 4835, 12710, 15932, 16043, 15899, 12678, 12089, 12570, 12571, 18815, 15881, 17700, 15903, 15878, 15830, 12632, 1996, 12631, 15862, 15863, 12696, 25172, 12551, 16987, 15852, 15877, 17, 15904, 12692, 17702, 15844, 15683, 20991, 12718, 8141, 12622, 12640, 4834, 12552]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10983,15899,Summation to n of Reciprocal of k by k-1 of Harmonic Number,:$\displaystyle \sum_{1 \mathop < k \mathop \le n} \dfrac 1 {k \paren {k - 1} } H_k = 2 - \dfrac {H_n} n - \dfrac 1 n$where $H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]].,['Definition:Harmonic Numbers'],[21005],"[15933, 15904, 15941]","[15933, 15904, 15941, 19244, 15596]","[15933, 15904, 15941, 19244, 15596, 15940, 19063, 15894, 15699, 15932]","[15933, 15904, 15941, 19244, 15596, 15940, 19063, 15894, 15699, 15932, 15888, 15700, 15903, 17471, 15594, 13875, 15939, 16171, 15696, 15844, 16040, 15895, 12446, 15701, 1995, 16056, 12445, 15551, 8288, 8963, 17042, 12443, 15530, 13599, 20945, 15574, 16051, 13674, 15529, 16069, 13675, 15828, 8141, 16068, 15697, 16043, 12711, 29513, 15951, 32457]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10984,15900,Riemann Zeta Function of 1000,To at least $100$ [[Definition:Decimal Place|decimal places]]::$\zeta \left({1000}\right) \approx 1$where $\zeta$ denotes the [[Definition:Riemann Zeta Function|Riemann zeta function]].,"['Definition:Decimal Expansion/Decimal Place', 'Definition:Riemann Zeta Function']","[30843, 20432]","[28, 2836, 28772]","[28, 2836, 28772, 11309, 14946]","[28, 2836, 28772, 11309, 14946, 2830, 1551, 1607, 2822, 28113]","[28, 2836, 28772, 11309, 14946, 2830, 1551, 1607, 2822, 28113, 18235, 30697, 29359, 14954, 2829, 14943, 30696, 14941, 2833, 18251, 18257, 14955, 18249, 14952, 1552, 14944, 14942, 14947, 12034, 21489, 18250, 11963, 11964, 15698, 14565, 14964, 26643, 9068, 16568, 1609, 9120, 2857, 15390, 2708, 8644, 13023, 12965, 12964, 32672, 2821]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10985,15903,Summation to n of kth Harmonic Number over k,:$\displaystyle \sum_{k \mathop = 1}^n \dfrac {H_k} k = \dfrac { {H_n}^2 + H_n^{\paren 2} } 2$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$H_n^{\paren 2}$ denotes a [[Definition:General Harmonic Numbers|general harmonic number]].,"['Definition:Harmonic Numbers', 'Definition:Harmonic Numbers/General Definition']","[21005, 23956]","[15904, 15941, 15940]","[15904, 15941, 15940, 15933, 15888]","[15904, 15941, 15940, 15933, 15888, 15932, 15899, 15894, 15699, 15700]","[15904, 15941, 15940, 15933, 15888, 15932, 15899, 15894, 15699, 15700, 15895, 13599, 15882, 15939, 15701, 15704, 15887, 15596, 15977, 32906, 16043, 15889, 2324, 15978, 15951, 10561, 16040, 32905, 15696, 16069, 15594, 19619, 16061, 15942, 15893, 13605, 12436, 16070, 17827, 14051, 16051, 13595, 13008, 12765, 13878, 16129, 9121, 13167, 15780, 12446]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10986,15904,Summation to n of kth Harmonic Number over k+1,:$\displaystyle \sum_{k \mathop = 1}^n \dfrac {H_k} {k + 1} = \dfrac { {H_{n + 1} }^2 - H_{n + 1}^{\left({2}\right)} } 2$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$H_n^{\left({2}\right)}$ denotes a [[Definition:General Harmonic Numbers|general harmonic number]].,"['Definition:Harmonic Numbers', 'Definition:Harmonic Numbers/General Definition']","[21005, 23956]","[15903, 15940, 15941]","[15903, 15940, 15941, 15933, 15899]","[15903, 15940, 15941, 15933, 15899, 15932, 15700, 15894, 15699, 15888]","[15903, 15940, 15941, 15933, 15899, 15932, 15700, 15894, 15699, 15888, 15596, 13599, 19063, 16043, 15889, 15882, 15939, 15704, 15895, 9121, 15594, 15951, 15970, 15942, 15887, 15976, 15701, 16042, 13008, 15978, 16040, 9786, 2324, 12660, 15696, 15780, 15863, 13605, 16171, 9860, 15781, 16070, 8989, 12711, 15606, 15852, 19619, 16061, 8531, 15502]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10987,15905,Principle of Recursive Definition for Well-Ordered Sets,Let $J$ be a [[Definition:Well-Ordered Set|well-ordered set]].Let $C$ be any [[Definition:Set|set]].Let $\mathcal F$ be the set of all [[Definition:Function|functions]] that map [[Definition:Initial Segment|initial segments]] $S_a$ of $J$ into $C$.Then for any function of the form::$\rho: \mathcal F \to C$there exists a [[Definition:Unique|unique]] function::$h: J \to C$satisfying::$\forall \alpha \in J: h\left({\alpha}\right) = \rho\left({ h {\restriction_{S_\alpha}} }\right)$where ${\restriction}$ denotes the [[Definition:Restriction of Mapping|restriction of a mapping]].,"['Definition:Well-Ordered Set', 'Definition:Set', 'Definition:Function', 'Definition:Initial Segment', 'Definition:Unique', 'Definition:Restriction/Mapping']","[19938, 19734, 19757, 22294, 22116, 22106]","[15912, 15856, 29516]","[15912, 15856, 29516, 12345, 16357]","[15912, 15856, 29516, 12345, 16357, 32914, 24931, 16356, 24930, 21411]","[15912, 15856, 29516, 12345, 16357, 32914, 24931, 16356, 24930, 21411, 11357, 6175, 475, 23937, 24394, 26915, 22129, 22128, 8868, 15835, 11353, 8875, 20196, 29158, 11136, 22294, 20008, 23885, 8872, 23948, 8863, 23935, 20647, 29031, 2055, 23759, 7247, 24970, 15693, 536, 5583, 7243, 27813, 20402, 22347, 4299, 14268, 4940, 32916, 24589]",0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.16666666666666666,0.038461538461538464,False
10988,15906,Angles with Parallel or Perpendicular Arms are Equal or Supplementary,Let $A$ and $B$ be [[Definition:Plane Angle|angles]] such that their corresponding arms are either [[Definition:Parallel Lines|parallel]] or [[Definition:Perpendicular|perpendicular]].Then $A$ and $B$ are either [[Definition:Equality|equal]] or [[Definition:Supplementary Angles|supplementary]].,"['Definition:Angle', 'Definition:Parallel (Geometry)/Lines', 'Definition:Right Angle/Perpendicular', 'Definition:Equals', 'Definition:Supplementary Angles']","[20152, 24190, 24250, 19758, 20574]","[7408, 2073, 21963]","[7408, 2073, 21963, 30930, 3665]","[7408, 2073, 21963, 30930, 3665, 2755, 21054, 2075, 2240, 27019]","[7408, 2073, 21963, 30930, 3665, 2755, 21054, 2075, 2240, 27019, 1507, 1769, 20450, 31211, 21528, 11322, 31375, 31208, 23902, 25298, 23905, 26496, 6174, 20922, 17999, 1922, 30259, 11969, 22116, 10492, 10120, 32398, 914, 31377, 3554, 30468, 24064, 27030, 3113, 30909, 26560, 20773, 28051, 1847, 27055, 15920, 22303, 7472, 26107, 19007]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10989,15907,Sum of External Angles of Polygon equals Four Right Angles,Let the [[Definition:External Angle|external angles]] of a [[Definition:Polygon|polygon]] be generated in the same direction going around the [[Definition:Polygon|polygon]].Then the sum of all these [[Definition:External Angle|external angles]] equals $4$ [[Definition:Right Angle|right angles]].,"['Definition:Polygon/External Angle', 'Definition:Polygon', 'Definition:Polygon', 'Definition:Polygon/External Angle', 'Definition:Right Angle']","[24077, 20256, 20256, 24077, 20153]","[11908, 874, 1794]","[11908, 874, 1794, 1225, 10099]","[11908, 874, 1794, 1225, 10099, 25208, 1951, 21916, 30204, 16110]","[11908, 874, 1794, 1225, 10099, 25208, 1951, 21916, 30204, 16110, 19336, 32192, 12051, 16111, 15918, 18119, 26300, 24059, 24061, 21914, 20891, 24080, 25263, 25233, 24079, 364, 19388, 24081, 10111, 10120, 18160, 25525, 25261, 18159, 25821, 1972, 11269, 25262, 13574, 24102, 24128, 21913, 18155, 6300, 14061, 30942, 20575, 25775, 18154, 26154]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
