,theorem_id,throrem_titles,theorem_contents,theorem_refs,ref_ids,retrieved_3,retrieved_5,retrieved_10,retrieved_50,P@3,P@5,P@10,P@50,R@3,R@5,R@10,R@50,RR,self_retrieve
10592,15878,Lower Bound for Binomial Coefficient,"Let $n, k \in \Z$ such that $n \ge k \ge 0$.Then::$\dbinom n k \ge \left({\dfrac {\left({n - k}\right) e} k}\right)^k \dfrac 1 {e k}$where $\dbinom n k$ denotes a [[Definition:Binomial Coefficient|binomial coefficient]].",['Definition:Binomial Coefficient'],[20059],"[29513, 22623, 32558]","[29513, 22623, 32558, 25464, 32561]","[29513, 22623, 32558, 25464, 32561, 32632, 25554, 26988, 32442, 24386]","[29513, 22623, 32558, 25464, 32561, 32632, 25554, 26988, 32442, 24386, 32909, 29517, 33043, 33046, 25037, 25463, 32631, 24809, 24808, 25331, 26826, 33047, 33006, 21005, 32639, 20104, 25172, 27746, 29047, 26802, 25184, 21597, 32560, 20465, 22145, 32694, 21007, 29834, 31478, 25050, 20492, 26933, 20554, 20991, 32695, 21065, 32297, 25952, 32184, 33044]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10593,15881,Sum over k of n Choose k by p^k by (1-p)^n-k by Absolute Value of k-np,Let $n \in \Z_{\ge 0}$ be a [[Definition:Non-Negative Integer|non-negative integer]].Then::$\displaystyle \sum_{k \mathop \in \Z} \dbinom n k p^k \left({1 - p}\right)^{n - k} \left\lvert{k - n p}\right\rvert = 2 \left\lceil{n p}\right\rceil \dbinom n {\left\lceil{n p}\right\rceil} p^{\left\lceil{n p}\right\rceil} \left({1 - p}\right)^{n - 1 - \left\lceil{n p}\right\rceil}$,['Definition:Positive/Integer'],[22648],"[23911, 32632, 25172]","[23911, 32632, 25172, 32920, 32631]","[23911, 32632, 25172, 32920, 32631, 23912, 21065, 32919, 32909, 29513]","[23911, 32632, 25172, 32920, 32631, 23912, 21065, 32919, 32909, 29513, 32561, 32910, 29512, 27978, 27746, 27658, 27943, 25464, 32639, 28257, 20991, 26933, 26932, 31424, 20075, 29528, 33018, 27196, 33017, 26935, 27197, 30399, 32456, 26541, 24662, 32948, 33047, 32918, 25467, 26544, 29504, 28953, 27823, 32560, 32457, 32251, 27404, 27896, 32237, 28151]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10594,15882,Sequence of General Harmonic Numbers Converges for Index Greater than 1,"Let $H_n^{\paren r}$ denote the [[Definition:General Harmonic Numbers|general harmonic number]]::$\displaystyle H_n^{\paren r} = \sum_{k \mathop = 1}^n \frac 1 {k^r}$for $r \in \R_{>0}$.Let $r > 1$.Then as $n \to \infty$, $H_n^{\paren r}$ is [[Definition:Convergent Series of Numbers|convergent]] with an [[Definition:Upper Bound|upper bound]] of $\dfrac {2^{r - 1} } {2^{r - 1} - 1}$.","['Definition:Harmonic Numbers/General Definition', 'Definition:Convergent Series/Number Field', 'Definition:Upper Bound']","[23956, 24643, 19917]","[23956, 32440, 32319]","[23956, 32440, 32319, 32735, 32877]","[23956, 32440, 32319, 32735, 32877, 30399, 32374, 26919, 22623, 32757]","[23956, 32440, 32319, 32735, 32877, 30399, 32374, 26919, 22623, 32757, 32797, 32852, 32911, 25172, 32898, 32909, 32872, 32424, 32879, 32870, 32456, 32798, 32351, 32869, 23875, 32871, 23872, 33047, 23871, 32210, 32782, 32878, 23661, 32918, 27626, 31814, 23130, 32619, 32457, 32910, 32853, 30814, 32761, 32784, 26826, 30235, 33051, 32198, 22972, 32830]",0.3333333333333333,0.2,0.1,0.02,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,False
10595,15884,Generating Function of Bernoulli Polynomials,Let $\map {B_n} x$ denote the $n$th [[Definition:Bernoulli Polynomial|Bernoulli polynomial]].Then the [[Definition:Generating Function|generating function]] for $B_n$ is::$\displaystyle \frac {t e^{t x} } {e^t - 1} = \sum_{k \mathop = 0}^\infty \frac {\map {B_k} x} {k!} t^k$,"['Definition:Bernoulli Polynomial', 'Definition:Generating Function']","[29504, 20526]","[32351, 32456, 29539]","[32351, 32456, 29539, 31197, 31194]","[32351, 32456, 29539, 31197, 31194, 26522, 32350, 26684, 32901, 29230]","[32351, 32456, 29539, 31197, 31194, 26522, 32350, 26684, 32901, 29230, 32679, 32461, 32457, 29229, 27152, 25150, 25172, 24665, 20329, 33051, 33119, 22623, 32534, 32532, 30306, 32424, 30307, 32898, 32530, 26904, 25171, 25011, 32481, 32531, 30274, 33004, 25107, 32542, 33079, 32533, 27630, 28052, 32283, 32535, 25017, 31024, 32528, 30814, 32253, 25018]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10596,15885,Symmetry of Bernoulli Polynomial,Let $\map {B_n} x$ denote the nth [[Definition:Bernoulli Polynomial|Bernoulli polynomial]].Then::$\map {B_n} {1 - x} = \paren {-1}^n \map {B_n} x$,['Definition:Bernoulli Polynomial'],[29504],"[29229, 32424, 26684]","[29229, 32424, 26684, 29230, 22272]","[29229, 32424, 26684, 29230, 22272, 31197, 33076, 31194, 31207, 27152]","[29229, 32424, 26684, 29230, 22272, 31197, 33076, 31194, 31207, 27152, 20715, 26285, 26306, 33079, 27630, 29642, 31395, 31961, 32901, 23566, 33078, 26307, 29446, 26308, 20325, 30306, 30814, 31201, 33077, 24237, 26845, 31200, 30307, 32283, 30851, 32585, 32584, 26846, 30852, 32539, 31815, 33038, 22409, 31997, 30805, 24482, 22390, 32457, 26312, 26919]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10597,15886,Value of Odd Bernoulli Polynomial at One Half,Let $B_n \left({x}\right)$ denote the $n$th [[Definition:Bernoulli Polynomial|Bernoulli polynomial]].Then:: $B_{2 n + 1} \left({\dfrac 1 2}\right) = 0$,['Definition:Bernoulli Polynomial'],[29504],"[29504, 25103, 26536]","[29504, 25103, 26536, 29047, 20290]","[29504, 25103, 26536, 29047, 20290, 29513, 32210, 32457, 25776, 26544]","[29504, 25103, 26536, 29047, 20290, 29513, 32210, 32457, 25776, 26544, 26537, 24809, 33047, 26861, 26860, 32891, 33046, 29464, 20283, 26862, 26863, 27942, 25050, 29465, 24341, 32877, 21678, 32456, 23912, 33041, 26826, 33008, 32237, 32918, 32588, 28819, 25172, 31954, 27324, 33006, 32909, 26932, 26541, 25108, 27341, 27152, 31424, 26543, 27519, 33042]",0.3333333333333333,0.2,0.1,0.02,1.0,1.0,1.0,1.0,1.0,False
10598,15887,Harmonic Number is Greater than Logarithm plus Gamma,:$H_n > \ln n + \gamma$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$\gamma$ denotes the [[Definition:Euler-Mascheroni Constant|Euler-Mascheroni constant]].,"['Definition:Harmonic Numbers', 'Definition:Euler-Mascheroni Constant']","[21005, 20320]","[25107, 29513, 26538]","[25107, 29513, 26538, 28150, 32906]","[25107, 29513, 26538, 28150, 32906, 26533, 32905, 28149, 27384, 26540]","[25107, 29513, 26538, 28150, 32906, 26533, 32905, 28149, 27384, 26540, 26544, 26537, 24811, 25026, 25055, 25050, 25092, 25043, 24810, 26795, 24993, 27773, 32683, 28009, 25067, 25091, 30005, 32558, 32297, 25020, 32787, 24796, 25037, 22285, 22972, 30006, 27942, 22404, 20545, 25409, 32048, 29561, 28253, 25405, 24808, 24809, 25032, 31175, 25052, 32457]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10599,15888,Summation to n of Power of k over k,:$\displaystyle \sum_{k \mathop = 1}^n \dfrac {x^k} k = H_n + \displaystyle \sum_{k \mathop = 1}^n \dbinom n k \dfrac {\left({x - 1}\right)^k} k$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$\dbinom n k$ denotes a [[Definition:Binomial Coefficient|binomial coefficient]].,"['Definition:Harmonic Numbers', 'Definition:Binomial Coefficient']","[21005, 20059]","[29513, 21005, 25172]","[29513, 21005, 25172, 32910, 28151]","[29513, 21005, 25172, 32910, 28151, 32906, 20991, 32558, 29504, 32639]","[29513, 21005, 25172, 32910, 28151, 32906, 20991, 32558, 29504, 32639, 26971, 32561, 20452, 32632, 32919, 32905, 26539, 29388, 32920, 33038, 26543, 32918, 26536, 27383, 32909, 31730, 32939, 27890, 30814, 22546, 23805, 20229, 32631, 22623, 31424, 32456, 30727, 26902, 28512, 25464, 22695, 22696, 20320, 27746, 27978, 24662, 32341, 29398, 32442, 33047]",0.3333333333333333,0.2,0.1,0.02,0.5,0.5,0.5,0.5,0.5,False
10600,15889,Harmonic Number as Unsigned Stirling Number of First Kind over Factorial,:$H_n = \dfrac {\left[{ {n + 1} \atop 2}\right]} {n!}$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$n!$ denotes the [[Definition:Factorial|$n$th factorial]]:$\displaystyle \left[{ {n + 1} \atop 2}\right]$ denotes an [[Definition:Unsigned Stirling Numbers of the First Kind|unsigned Stirling number of the first kind]].,"['Definition:Harmonic Numbers', 'Definition:Factorial', 'Definition:Stirling Numbers of the First Kind/Unsigned']","[21005, 20058, 26485]","[26484, 20972, 20973]","[26484, 20972, 20973, 26932, 29496]","[26484, 20972, 20973, 26932, 29496, 26931, 29585, 26935, 27942, 26934]","[26484, 20972, 20973, 26932, 29496, 26931, 29585, 26935, 27942, 26934, 26933, 28308, 33038, 26523, 32787, 27943, 33065, 26936, 24811, 23911, 32795, 32857, 25027, 32821, 32856, 32855, 32772, 32816, 32808, 32815, 32801, 32802, 32803, 32804, 32805, 32807, 32789, 32791, 25052, 25191, 32842, 32832, 25063, 25051, 26544, 25066, 32284, 32282, 32283, 26537]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10601,15892,Sum of Harmonic Numbers approaches Harmonic Number of Product of Indices,"Let $m, n \in \Z_{>0}$ be [[Definition:Strictly Positive Integer|(strictly) positive integers]].Let:: $T \left({m, n}\right) := H_m + H_n - H_{m n}$where $H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]].Then as $m$ or $n$ increases, $T \left({m, n}\right)$ never increases, and reaches its minimum when $m$ and $n$ approach [[Definition:Infinity|infinity]].","['Definition:Strictly Positive/Integer', 'Definition:Harmonic Numbers', 'Definition:Infinity']","[22655, 21005, 20994]","[27681, 27473, 20179]","[27681, 27473, 20179, 26445, 26540]","[27681, 27473, 20179, 26445, 26540, 28149, 33053, 24447, 27402, 27987]","[27681, 27473, 20179, 26445, 26540, 28149, 33053, 24447, 27402, 27987, 26663, 24720, 27404, 28009, 27907, 28253, 29894, 30458, 26446, 20521, 21252, 27999, 31502, 31432, 20465, 26996, 20178, 27998, 26533, 24305, 21392, 27384, 27782, 28138, 22717, 31437, 20753, 28008, 27682, 25113, 27780, 22647, 33008, 20475, 29897, 25245, 28252, 20492, 28262, 26530]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
