,theorem_id,throrem_titles,theorem_contents,theorem_refs,ref_ids,retrieved_3,retrieved_5,retrieved_10,retrieved_50,P@3,P@5,P@10,P@50,R@3,R@5,R@10,R@50,RR,self_retrieve
10980,15893,Summation over k to n of Natural Logarithm of k,:$\ds \sum_{k \mathop = 1}^n \ln k = \map \ln {n!}$where $n!$ denotes the $n$th [[Definition:Factorial|factorial]].,['Definition:Factorial'],[20058],"[20058, 32908, 32624]","[20058, 32908, 32624, 13398, 12567]","[20058, 32908, 32624, 13398, 12567, 9886, 13045, 28364, 15851, 9887]","[20058, 32908, 32624, 13398, 12567, 9886, 13045, 28364, 15851, 9887, 15802, 15803, 32625, 15798, 15894, 15779, 15786, 9876, 12718, 15785, 13124, 12535, 19063, 13399, 9883, 26901, 14516, 10515, 26906, 12536, 8646, 9885, 12319, 26905, 12644, 32723, 17852, 6753, 32716, 12584, 4165, 19350, 25638, 28287, 7578, 1307, 9888, 19429, 32715, 15781]",0.3333333333333333,0.2,0.1,0.02,1.0,1.0,1.0,1.0,1.0,False
10981,15894,Difference between Summation of Natural Logarithms and Summation of Harmonic Numbers,:$\displaystyle \sum_{k \mathop = 1}^n H_k - \sum_{k \mathop = 1}^n \map \ln {n!} \approx \gamma n + \dfrac {\ln n} 2 + 0 \cdotp 158$where::$H_k$ denotes the $k$th [[Definition:Harmonic Number|harmonic number]]:$n!$ denotes the $n$th [[Definition:Factorial|factorial]]:$\gamma$ denotes the [[Definition:Euler-Mascheroni Constant|Euler-Mascheroni constant]].,"['Definition:Harmonic Numbers', 'Definition:Factorial', 'Definition:Euler-Mascheroni Constant']","[21005, 20058, 20320]","[15887, 19619, 15699]","[15887, 19619, 15699, 18254, 15942]","[15887, 19619, 15699, 18254, 15942, 15940, 15696, 15932, 20320, 15895]","[15887, 19619, 15699, 18254, 15942, 15940, 15696, 15932, 20320, 15895, 18258, 17529, 15899, 15941, 15700, 15701, 15893, 26439, 13045, 1328, 15904, 9527, 9528, 24835, 15903, 13219, 25107, 15933, 1553, 15889, 15888, 18257, 15612, 15939, 15704, 15596, 25636, 32906, 2679, 15792, 16043, 15389, 9097, 32908, 10561, 31175, 4670, 32905, 20058, 12185]",0.0,0.0,0.1,0.04,0.0,0.0,0.3333333333333333,0.6666666666666666,0.1111111111111111,False
10982,15895,Sum over k of n Choose k by x to the k by kth Harmonic Number/x = -1,While for $x \in \R_{> 0}$ be a [[Definition:Real Number|real number]]::$\displaystyle \sum_{k \mathop \in \Z} \binom n k x^k H_k = \left({x + 1}\right)^n \left({H_n - \ln \left({1 + \frac 1 x}\right)}\right) + \epsilon$when $x = -1$ we have::$\displaystyle \sum_{k \mathop \in \Z} \binom n k x^k H_k = \dfrac {-1} n$where:: $\dbinom n k$ denotes a [[Definition:Binomial Coefficient|binomial coefficient]]: $H_k$ denotes the $k$th [[Definition:Harmonic Number|harmonic number]].,"['Definition:Real Number', 'Definition:Binomial Coefficient', 'Definition:Harmonic Numbers']","[20077, 20059, 21005]","[15701, 15700, 15699]","[15701, 15700, 15699, 15932, 15888]","[15701, 15700, 15699, 15932, 15888, 15941, 15899, 15940, 15904, 16043]","[15701, 15700, 15699, 15932, 15888, 15941, 15899, 15940, 15904, 16043, 15903, 25636, 15894, 12571, 15846, 23020, 16041, 15847, 15933, 7548, 15878, 15676, 15977, 15688, 15877, 15862, 4826, 12570, 15694, 10746, 15863, 4670, 2405, 696, 32909, 23956, 2404, 16986, 30726, 2034, 2400, 15682, 28151, 15596, 12572, 15939, 26539, 12569, 2403, 10516]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10983,15899,Summation to n of Reciprocal of k by k-1 of Harmonic Number,:$\displaystyle \sum_{1 \mathop < k \mathop \le n} \dfrac 1 {k \paren {k - 1} } H_k = 2 - \dfrac {H_n} n - \dfrac 1 n$where $H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]].,['Definition:Harmonic Numbers'],[21005],"[15903, 15932, 15596]","[15903, 15932, 15596, 15941, 15933]","[15903, 15932, 15596, 15941, 15933, 15699, 15904, 15888, 15594, 15940]","[15903, 15932, 15596, 15941, 15933, 15699, 15904, 15888, 15594, 15940, 15895, 10561, 21005, 15701, 15882, 23956, 15696, 16040, 15700, 15887, 15894, 16051, 15892, 19619, 15704, 32906, 15939, 27950, 15889, 31175, 32905, 18917, 18918, 20320, 14854, 14051, 23020, 29463, 16043, 12961, 1306, 31176, 14853, 25636, 20231, 14171, 5360, 4670, 13875, 827]",0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.07692307692307693,False
10984,15900,Riemann Zeta Function of 1000,To at least $100$ [[Definition:Decimal Place|decimal places]]::$\zeta \left({1000}\right) \approx 1$where $\zeta$ denotes the [[Definition:Riemann Zeta Function|Riemann zeta function]].,"['Definition:Decimal Expansion/Decimal Place', 'Definition:Riemann Zeta Function']","[30843, 20432]","[1551, 2830, 28]","[1551, 2830, 28, 16568, 15352]","[1551, 2830, 28, 16568, 15352, 18954, 18956, 18939, 14687, 14688]","[1551, 2830, 28, 16568, 15352, 18954, 18956, 18939, 14687, 14688, 14924, 1552, 11309, 28772, 18257, 14964, 2833, 14944, 8644, 2836, 2829, 29359, 30696, 26642, 9120, 30697, 14942, 20432, 1607, 21489, 15898, 14946, 11963, 2822, 11964, 12964, 15698, 14565, 18235, 1609, 2708, 9068, 12965, 14943, 32672, 15390, 12968, 14955, 12034, 14952]",0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.5,0.03571428571428571,False
10985,15903,Summation to n of kth Harmonic Number over k,:$\displaystyle \sum_{k \mathop = 1}^n \dfrac {H_k} k = \dfrac { {H_n}^2 + H_n^{\paren 2} } 2$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$H_n^{\paren 2}$ denotes a [[Definition:General Harmonic Numbers|general harmonic number]].,"['Definition:Harmonic Numbers', 'Definition:Harmonic Numbers/General Definition']","[21005, 23956]","[15899, 15904, 15932]","[15899, 15904, 15932, 15941, 15933]","[15899, 15904, 15932, 15941, 15933, 15699, 15882, 15596, 10561, 21005]","[15899, 15904, 15932, 15941, 15933, 15699, 15882, 15596, 10561, 21005, 23956, 15888, 15594, 15887, 15940, 15892, 15701, 15696, 15895, 32906, 31175, 19619, 15704, 32905, 16040, 16051, 15700, 15889, 29463, 18918, 18917, 14854, 15939, 15894, 31176, 15702, 15703, 16052, 20320, 14853, 1306, 20231, 14051, 14852, 27950, 1134, 17594, 4436, 16220, 4437]",0.0,0.0,0.1,0.04,0.0,0.0,0.5,1.0,0.1,False
10986,15904,Summation to n of kth Harmonic Number over k+1,:$\displaystyle \sum_{k \mathop = 1}^n \dfrac {H_k} {k + 1} = \dfrac { {H_{n + 1} }^2 - H_{n + 1}^{\left({2}\right)} } 2$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$H_n^{\left({2}\right)}$ denotes a [[Definition:General Harmonic Numbers|general harmonic number]].,"['Definition:Harmonic Numbers', 'Definition:Harmonic Numbers/General Definition']","[21005, 23956]","[15903, 15933, 15941]","[15903, 15933, 15941, 15899, 15940]","[15903, 15933, 15941, 15899, 15940, 15699, 15704, 15932, 10561, 15701]","[15903, 15933, 15941, 15899, 15940, 15699, 15704, 15932, 10561, 15701, 15700, 15892, 23956, 15888, 15895, 15882, 32906, 15596, 31175, 21005, 32905, 15887, 29463, 18917, 18918, 14853, 15594, 16043, 15894, 15889, 14854, 16040, 31176, 14852, 19619, 16052, 15702, 15703, 16051, 15937, 15696, 15939, 15934, 1306, 27950, 16220, 4437, 4436, 17861, 4435]",0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.07692307692307693,False
10987,15905,Principle of Recursive Definition for Well-Ordered Sets,Let $J$ be a [[Definition:Well-Ordered Set|well-ordered set]].Let $C$ be any [[Definition:Set|set]].Let $\mathcal F$ be the set of all [[Definition:Function|functions]] that map [[Definition:Initial Segment|initial segments]] $S_a$ of $J$ into $C$.Then for any function of the form::$\rho: \mathcal F \to C$there exists a [[Definition:Unique|unique]] function::$h: J \to C$satisfying::$\forall \alpha \in J: h\left({\alpha}\right) = \rho\left({ h {\restriction_{S_\alpha}} }\right)$where ${\restriction}$ denotes the [[Definition:Restriction of Mapping|restriction of a mapping]].,"['Definition:Well-Ordered Set', 'Definition:Set', 'Definition:Function', 'Definition:Initial Segment', 'Definition:Unique', 'Definition:Restriction/Mapping']","[19938, 19734, 19757, 22294, 22116, 22106]","[32915, 5583, 15912]","[32915, 5583, 15912, 32914, 14570]","[32915, 5583, 15912, 32914, 14570, 15856, 10251, 29516, 14415, 228]","[32915, 5583, 15912, 32914, 14570, 15856, 10251, 29516, 14415, 228, 25211, 22294, 19830, 5307, 5316, 5208, 5291, 5312, 18614, 23885, 15835, 1812, 173, 16840, 22106, 18634, 32916, 300, 6074, 27043, 22530, 19902, 23948, 29498, 19903, 2234, 10524, 7483, 25739, 2233, 25575, 1813, 1758, 5094, 5977, 25584, 16588, 1314, 27703, 5294]",0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,False
10988,15906,Angles with Parallel or Perpendicular Arms are Equal or Supplementary,Let $A$ and $B$ be [[Definition:Plane Angle|angles]] such that their corresponding arms are either [[Definition:Parallel Lines|parallel]] or [[Definition:Perpendicular|perpendicular]].Then $A$ and $B$ are either [[Definition:Equality|equal]] or [[Definition:Supplementary Angles|supplementary]].,"['Definition:Angle', 'Definition:Parallel (Geometry)/Lines', 'Definition:Right Angle/Perpendicular', 'Definition:Equals', 'Definition:Supplementary Angles']","[20152, 24190, 24250, 19758, 20574]","[1742, 10111, 10378]","[1742, 10111, 10378, 1965, 10112]","[1742, 10111, 10378, 1965, 10112, 10120, 10115, 8070, 10380, 31901]","[1742, 10111, 10378, 1965, 10112, 10120, 10115, 8070, 10380, 31901, 25498, 1922, 30259, 1741, 1743, 21824, 10376, 20174, 10386, 10381, 10114, 21914, 24190, 21913, 18126, 32090, 24249, 24191, 32913, 15925, 10387, 19145, 21810, 10390, 10388, 13108, 10409, 15920, 31500, 10391, 20574, 1739, 1740, 3554, 10382, 25209, 3553, 24196, 13051, 16902]",0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.4,0.043478260869565216,False
10989,15907,Sum of External Angles of Polygon equals Four Right Angles,Let the [[Definition:External Angle|external angles]] of a [[Definition:Polygon|polygon]] be generated in the same direction going around the [[Definition:Polygon|polygon]].Then the sum of all these [[Definition:External Angle|external angles]] equals $4$ [[Definition:Right Angle|right angles]].,"['Definition:Polygon/External Angle', 'Definition:Polygon', 'Definition:Polygon', 'Definition:Polygon/External Angle', 'Definition:Right Angle']","[24077, 20256, 20256, 24077, 20153]","[24077, 11908, 11909]","[24077, 11908, 11909, 10126, 24080]","[24077, 11908, 11909, 10126, 24080, 25263, 24076, 24081, 10099, 25260]","[24077, 11908, 11909, 10126, 24080, 25263, 24076, 24081, 10099, 25260, 1739, 1225, 25208, 1740, 24079, 24073, 29917, 1794, 30942, 24072, 25258, 1213, 25261, 11906, 11907, 20405, 21839, 27834, 24058, 24082, 25207, 27835, 874, 364, 24078, 1934, 24075, 26081, 20257, 20900, 26080, 30939, 25634, 21838, 30940, 3567, 10393, 10098, 20575, 7787]",0.3333333333333333,0.2,0.1,0.02,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,False
